sBytesAvg,rBytesAvg,sFinRate,sttl,rttl,sAckDelayMax,rAckDelayMax,sPackets,rPackets,protocol,sWinTCP,rWinTCP,sInterPacketAvg,rInterPacketAvg,NST_B_Label
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.0037967860698699,0.0069363619151868,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.001,0.002,30,20,IP:TCP,11125.0,16671.75,0.0030927575867751,0.0047172747160259,0
70.0,70.6,0.2,64.0,64.0,0.001,0.044,25,20,IP:TCP,13249.6,16671.75,0.0039734939734141,0.0072872638702392,0
70.0,70.6,0.2,64.0,64.0,0.001,0.047,25,20,IP:TCP,13249.6,16671.75,0.0038701295852661,0.0071293680291426,1
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029549598693847,0.0045073157862613,0
69.333,70.6,0.167,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029774123224718,0.0045395901328638,1
69.333,70.6,0.167,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029855843248038,0.0045537948608398,1
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.003700832525889,0.0069589991318552,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.0,30,20,IP:TCP,11125.0,16671.75,0.0029342750023151,0.0044749410528885,0
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.0037738780180613,0.0069393107765599,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029732441080027,0.0045346209877415,0
70.0,70.6,0.2,64.0,64.0,0.0,0.042,25,20,IP:TCP,13249.6,16671.75,0.0037245452404022,0.0069318319621839,0
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.0037156641483306,0.0069384700373599,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0037237505118052,0.0069356843044883,0
42.0,42.0,,,,,,2,2,ARP,,,1.2159347534179688e-05,1.0967254638671877e-05,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.001,0.0,30,20,IP:TCP,11125.0,16671.75,0.0030875205993652,0.0047077379728618,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.0,30,20,IP:TCP,11125.0,16671.75,0.0029705146263385,0.0045311576441714,0
70.0,70.6,0.2,64.0,64.0,0.0,0.046,25,20,IP:TCP,13249.6,16671.75,0.0042093694210052,0.0075248919035259,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0037645896275838,0.0070597874490838,0
70.0,70.6,0.2,64.0,64.0,0.001,0.043,25,20,IP:TCP,13249.6,16671.75,0.0038585364818573,0.0071473247126529,0
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.0038726230462392,0.00714793958162,0
85.0,192.25,0.0,64.0,64.0,0.0,0.043,2,4,IP:TCP,501.0,502.0,0.0227699279785156,0.0221439997355143,1
70.0,70.6,0.2,64.0,64.0,0.001,0.048,25,20,IP:TCP,13249.6,16671.75,0.0038923323154449,0.0071414269899067,0
70.0,70.6,0.2,64.0,64.0,0.0,0.042,25,20,IP:TCP,13249.6,16671.75,0.0040669937928517,0.007357685189498,0
74.0,,0.0,64.0,,,,1,0,IP:TCP,64240.0,,,,1
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0037455856800079,0.0069371022676166,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.001,0.0,30,20,IP:TCP,11125.0,16671.75,0.0030383159374368,0.0046334768596448,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.0,30,20,IP:TCP,11125.0,16671.75,0.002965655820123,0.0045234780562551,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029703830850535,0.0045296267459267,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029810708144615,0.0045469434637772,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0039885342121124,0.0073513106295936,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0037235418955485,0.0069344796632465,0
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.0037722488244374,0.0069418831875449,0
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.0037862956523895,0.0069369516874614,0
69.333,70.6,0.167,64.0,64.0,0.002,0.002,30,20,IP:TCP,11125.0,16671.75,0.0031087891808871,0.004740413866545,1
171.75,80.571,0.0,64.0,64.0,0.195,0.001,8,7,IP:TCP,502.0,501.857,0.0336561203002929,0.039257009824117,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.001,0.001,30,20,IP:TCP,11125.0,16671.75,0.0031722003015978,0.0048391066099468,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.0,30,20,IP:TCP,11125.0,16671.75,0.0029334117626321,0.0044744140223452,0
69.333,70.6,0.167,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029690265655517,0.004528146041067,1
85.0,192.5,0.0,64.0,64.0,0.0,0.0,1,2,IP:TCP,501.0,502.0,,0.0003321170806884,0
42.0,42.0,,,,,,2,2,ARP,,,1.0967254638671877e-05,1.2159347534179688e-05,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.003916710615158,0.0071489434493215,0
217.8,85.0,0.0,64.0,64.0,0.044,0.0,5,3,IP:TCP,502.0,9809.0,0.0238517522811889,0.0258669853210449,1
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0036433736483256,0.006862113350316,0
192.25,85.0,0.0,64.0,64.0,0.022,0.0,4,2,IP:TCP,502.0,501.0,0.0074636141459147,0.0220301151275634,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029488678636222,0.0044981053001002,0
69.925,70.824,0.206,64.0,64.0,0.006,0.044,107,85,IP:TCP,13011.327,16481.6,0.0046006238685463,0.0058036418188185,0
57.095,66.26100000000001,0.0139999999999999,64.0,64.0,0.0,0.103,358,352,IP:TCP,1007.983,1427.338,0.0002987030841389,0.0004209772474066,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029395530963766,0.004483888023778,0
72.667,70.0,0.0,64.0,64.0,0.0,0.0,3,2,IP:TCP,21748.0,32834.5,8.857250213623047e-05,0.0001521110534667,0
70.0,70.6,0.2,64.0,64.0,0.0,0.047,25,20,IP:TCP,13249.6,16671.75,0.0038418769836425,0.0070376898113049,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029868257456812,0.0045556394677413,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029674480701314,0.0045260002738551,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0030256879740747,0.0046142653415077,0
70.0,70.6,0.2,64.0,64.0,0.0,0.046,25,20,IP:TCP,13249.6,16671.75,0.0037833750247955,0.0070881090666118,0
70.0,70.6,0.2,64.0,64.0,0.003,0.044,25,20,IP:TCP,13249.6,16671.75,0.0039524932702382,0.0071375244542172,1
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0037663280963897,0.0069362740767629,0
70.0,70.6,0.2,64.0,64.0,0.0,0.043,25,20,IP:TCP,13249.6,16671.75,0.0039370357990264,0.0071455804925215,1
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029649323430554,0.0045218467712402,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.0029769272639833,0.0045399038415206,0
85.0,192.25,0.0,64.0,64.0,0.0,0.022,2,4,IP:TCP,2071.5,502.0,0.0218069553375244,0.0073833465576171,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.00391153494517,0.0071278998726292,0
42.0,42.0,,,,,,2,2,ARP,,,1.621246337890625e-05,2.408027648925781e-05,1
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.001,30,20,IP:TCP,11125.0,16671.75,0.00300041560469,0.0045758423052336,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.0,0.0,30,20,IP:TCP,11125.0,16671.75,0.0029711394474424,0.0045319481899863,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0037219921747843,0.0069166233665064,0
70.0,70.6,0.2,64.0,64.0,0.0,0.047,25,20,IP:TCP,13249.6,16671.75,0.0038537879784901,0.0070954749458714,0
69.333,70.6,0.1669999999999999,64.0,64.0,0.001,0.001,30,20,IP:TCP,11125.0,16671.75,0.0030651010315993,0.0046743217267488,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0040468374888102,0.0072314739227294,0
70.0,70.6,0.2,64.0,64.0,0.0,0.044,25,20,IP:TCP,13249.6,16671.75,0.0038454135258992,0.006983480955425,0
70.0,70.6,0.2,64.0,64.0,0.001,0.044,25,20,IP:TCP,13249.6,16671.75,0.0036688347657521,0.0069267247852526,1
