feature,mi
sAckRate,0.010849118509124178
sttl,0.01006168248830086
rttl,0.009722647534890827
sPayloadMin,0.008377444332651085
rAckRate,0.007021304519010951
sBytesMax,0.006933811627808373
sPayloadMax,0.006452600726194024
rBytesMin,0.006452600726194024
sWinTCP,0.0051730171923561885
rPayloadMax,0.0050308412441519845
sBytesMin,0.004833982238946155
sPayloadAvg,0.004418391005733824
rWinTCP,0.004199658777727433
sBytesAvg,0.004090292663724182
sPshRate,0.0038934336585183527
rBytesMax,0.003882497047117961
rPayloadAvg,0.0022638785598700917
rPshRate,0.001826414103857088
rBytesAvg,0.0012467736996399914
rAckDelayMax,0.00036090817621381444
sAckDelayMax,7.655627980529545e-05
rSynRate,5.468305700473408e-05
sPayloadSum,4.3746445604342377e-05
sRstRate,4.3746445604342377e-05
rPackets,3.2809834204061694e-05
sLoad,3.2809834204061694e-05
rBytesSum,1.0936611403389307e-05
rPayloadMin,1.0936611403389307e-05
rRstRate,3.1086244689504383e-15
sSynRate,3.1086244689504383e-15
start,3.1086244689504383e-15
rFragmentRate,3.1086244689504383e-15
sAckDelayMin,3.1086244689504383e-15
rAckDelayMin,3.1086244689504383e-15
sAckDelayAvg,3.1086244689504383e-15
sFragmentRate,3.1086244689504383e-15
sInterPacketAvg,3.1086244689504383e-15
rFinRate,3.1086244689504383e-15
sFinRate,3.1086244689504383e-15
rUrgRate,3.1086244689504383e-15
sUrgRate,3.1086244689504383e-15
rInterPacketAvg,3.1086244689504383e-15
end,3.1086244689504383e-15
rPayloadSum,3.1086244689504383e-15
rLoad,3.1086244689504383e-15
sBytesSum,3.1086244689504383e-15
sPackets,3.1086244689504383e-15
duration,3.1086244689504383e-15
endOffset,3.1086244689504383e-15
startOffset,3.1086244689504383e-15
rAckDelayAvg,3.1086244689504383e-15
