end,endOffset,rBytesSum,start,sBytesSum,startOffset,sPayloadSum,rPayloadSum,rPackets,sPackets,NST_B_Label
1663319680.01033,0.499993,992,1663319679.510337,585,0.0,117,108,17,9,0
1663319680.013394,0.503057,1108,1663319679.513421,585,0.003084,117,120,19,9,0
1663319680.054139,0.543802,933,1663319679.60116,1187,0.090823,147,153,15,20,0
1663319680.602902,1.092565,933,1663319680.200719,1239,0.690382,147,153,15,21,0
1663319680.507654,0.997317,1792,1663319680.010348,975,0.500011,195,180,31,15,0
1663319680.510327,0.99999,632,1663319680.013451,390,0.503114,78,60,11,6,0
1663319681.202324,1.691987,933,1663319680.80053,1239,1.290193,147,153,15,21,0
1663319681.00936,1.499023,928,1663319681.007381,520,1.497044,104,96,16,8,0
1663319681.013733,1.503396,580,1663319681.009415,325,1.499078,65,60,10,5,0
1663319681.814207,2.30387,933,1663319681.400666,1239,1.890329,147,153,15,21,0
1663319681.556656,2.046319,668,1663319681.512108,520,2.001771,104,96,11,8,0
1663319682.014479,2.504142,696,1663319681.515673,390,2.005336,78,72,12,6,0
1663319682.404321,2.893984,933,1663319682.000379,1239,2.490042,147,153,15,21,0
1663319682.510905,3.000568,1856,1663319682.012517,1040,2.50218,208,192,32,16,0
1663319682.511675,3.001338,1044,1663319682.018006,585,2.507669,117,108,18,9,0
1663319683.004345,3.494008,933,1663319682.600161,1239,3.089824,147,153,15,21,0
1663319683.009046,3.498709,928,1663319683.005187,520,3.49485,104,96,16,8,0
1663319683.010783,3.500446,580,1663319683.009147,325,3.49881,65,60,10,5,0
1663319683.652938,4.142601,933,1663319683.200991,1187,3.690654,147,153,15,20,0
1663319683.520173,4.009836,928,1663319683.509267,520,3.99893,104,96,16,8,0
1663319684.020272,4.509935,656,1663319683.520619,455,4.010282,91,84,11,7,0
1663319684.205453,4.695116,933,1663319683.80038,1239,4.290043,147,153,15,21,0
1663319684.015798,4.505461,928,1663319684.01122,520,4.500883,104,96,16,8,0
1663319684.024965,4.514628,348,1663319684.020785,195,4.510448,39,36,6,3,0
1663319684.804475,5.294138,933,1663319684.400586,1239,4.890249,147,153,15,21,0
1663319685.011459,5.501122,1224,1663319684.511544,650,5.001207,130,132,21,10,0
1663319685.511509,6.001172,992,1663319685.011743,650,5.501406,130,108,17,10,0
1663319685.01948,5.509143,1160,1663319684.521689,650,5.011352,130,120,20,10,0
1663319685.412404,5.902067,933,1663319685.002844,1187,5.492507,147,153,15,20,0
1663319685.515792,6.005455,464,1663319685.511894,260,6.001557,52,48,8,4,0
1663319685.565641,6.055304,424,1663319685.516142,325,6.005805,65,60,7,5,0
1663319686.007073,6.496736,933,1663319685.600668,1239,6.090331,147,153,15,21,0
1663319686.612941,7.102604,933,1663319686.202684,1239,6.692347,147,153,15,21,0
1663319686.507451,6.997114,1856,1663319686.0294,1040,6.519063,208,192,32,16,0
1663319686.509111,6.998774,1160,1663319686.040596,650,6.530259,130,120,20,10,0
1663319687.206389,7.696052,933,1663319686.80153,1239,7.291193,147,153,15,21,0
1663319687.849313,8.338976,933,1663319687.401345,1239,7.891008,147,153,15,21,0
1663319687.5222,8.011863,1700,1663319687.041348,1040,7.531011,208,192,29,16,0
1663319687.530137,8.0198,1160,1663319687.077948,650,7.567611,130,120,20,10,0
1663319688.507178,8.996841,732,1663319688.007757,585,8.49742,117,108,12,9,0
1663319688.40644,8.896103,933,1663319688.001098,1239,8.490761,147,153,15,21,0
1663319688.513208,9.002871,812,1663319688.510642,455,9.000305,91,84,14,7,0
1663319688.515421,9.005084,1004,1663319688.017673,650,8.507336,130,120,17,10,0
1663319689.015048,9.504711,933,1663319688.600632,1239,9.090295,147,153,15,21,0
1663319689.606656,10.096319,933,1663319689.201213,1239,9.690876,147,153,15,21,0
1663319689.519925,10.009588,1804,1663319689.024158,1040,9.513821,208,192,31,16,0
1663319689.525848,10.015511,1160,1663319689.037115,650,9.526778,130,120,20,10,0
1663319690.249194,10.738857,933,1663319689.80111,1187,10.290773,147,153,15,20,0
1663319690.52867,11.018333,1428,1663319690.029212,910,10.518875,182,180,24,14,0
1663319690.819669,11.309332,933,1663319690.401654,1239,10.891317,147,153,15,21,0
1663319690.535364,11.025027,1160,1663319690.049713,650,10.539376,130,120,20,10,0
1663319691.019552,11.509215,1044,1663319690.529918,650,11.019581,130,108,18,10,0
1663319691.024531,11.514194,580,1663319691.020056,325,11.509719,65,60,10,5,0
1663319691.453267,11.94293,933,1663319691.003074,1239,11.492737,147,153,15,21,0
1663319691.522969,12.012632,928,1663319691.511886,520,12.001549,104,96,16,8,0
1663319691.527215,12.016878,580,1663319691.523393,325,12.013056,65,60,10,5,0
1663319692.005349,12.495012,933,1663319691.600813,1239,12.090476,147,153,15,21,0
1663319692.515235,13.004898,1108,1663319692.016799,585,12.506462,117,120,19,9,0
1663319692.525383,13.015046,488,1663319692.025537,325,12.5152,65,72,8,5,0
1663319692.601785,13.091448,933,1663319692.201564,1239,12.691227,147,153,15,21,0
