end,endOffset,rBytesSum,start,sBytesSum,startOffset,sPayloadSum,rPayloadSum,rPackets,sPackets,NST_B_Label
1663320376.51246,697.002123,848,1663320376.012729,585,696.502392,117,120,14,9,0
1663319722.522503,43.012166,1688,1663319722.022662,910,42.512325,182,180,29,14,0
1663323648.783126,3969.272789,155848,1663323648.283127,141640,3968.77279,0,0,3542,3541,1
1663324277.255163,4597.744826,256,1663324276.808385,260,4597.298048,52,48,4,4,1
1663324867.886823,5188.376486,252560,1663324867.386863,229600,5187.876526,0,0,5740,5740,1
1663326556.222322,6876.711985,177408,1663326555.722479,161280,6876.212142,0,0,4032,4032,1
1663325319.519448,5640.009111,93,1663325319.519448,0,5640.009111,0,65,1,0,1
1663322270.217512,2590.707175,933,1663322269.801388,1239,2590.291051,147,153,15,21,0
1663321726.515658,2047.005321,1648,1663321726.021954,1040,2046.511617,208,192,28,16,0
1663325713.025938,6033.515601,580,1663325713.016657,325,6033.50632,65,60,10,5,0
1663326099.524945,6420.014608,1856,1663326099.026933,1040,6419.516596,208,192,32,16,0
1663327865.204942,8185.694605,933,1663327864.800377,1187,8185.29004,147,153,15,20,0
1663319838.534087,159.02375,1160,1663319838.037621,650,158.527284,130,120,20,10,0
1663323342.507053,3662.996716,1700,1663323342.013503,1040,3662.503166,208,192,29,16,0
1663323313.52052,3634.010183,488,1663323313.020861,325,3633.510524,65,72,8,5,0
1663325083.746365,5404.236028,121,1663325083.745403,64,5404.235066,12,17,2,1,0
1663326088.021022,6408.510685,933,1663326087.601005,1239,6408.090668,147,153,15,21,0
1663327164.594289,7485.083952,178540,1663327164.094816,113490,7484.584479,22698,20928,3031,1746,1
1663323977.006659,4297.496322,1596,1663323976.517913,1040,4297.007576,208,192,27,16,0
1663321758.535776,2079.025439,580,1663321758.532886,325,2079.022549,65,60,10,5,0
1663327009.004105,7329.493768,933,1663327008.566907,1239,7329.05657,147,153,15,21,0
1663321360.603126,1681.092789,933,1663321360.202369,1187,1680.692032,147,153,15,20,0
1663323636.015843,3956.505506,933,1663323635.600359,1239,3956.090022,147,153,15,21,0
1663324576.018877,4896.50854,580,1663324576.017494,325,4896.507157,65,60,10,5,0
1663324723.55246,5044.042123,1572,1663324723.102586,910,5043.592249,182,168,27,14,1
1663325949.510471,6270.000134,1560,1663325949.015741,910,6269.505404,182,156,27,14,0
1663320809.525174,1130.014837,516,1663320809.517248,325,1130.006911,65,48,9,5,0
1663325350.025141,5670.514804,824,1663325349.525234,520,5670.014897,104,96,14,8,0
1663321817.210995,2137.700658,933,1663321816.801351,1239,2137.291014,147,153,15,21,0
1663319997.406749,317.896412,933,1663319997.001058,1239,317.490721,147,153,15,21,0
1663320222.523645,543.013308,1044,1663320222.023829,585,542.513492,117,108,18,9,0
1663319737.60527,58.094933,933,1663319737.20047,1239,57.690133,147,153,15,21,0
1663324449.529497,4770.01916,928,1663324449.518379,520,4770.008042,104,96,16,8,0
1663319817.029922,137.519585,980,1663319816.572885,520,137.062548,104,96,17,8,0
1663326277.838887,6598.32855,258280,1663326277.338889,234760,6597.828552,0,0,5870,5869,1
1663322924.505311,3244.994974,1160,1663322924.007922,650,3244.497585,130,120,20,10,0
1663322183.205898,2503.695561,933,1663322182.801711,1187,2503.291374,147,153,15,20,0
1663327196.507469,7516.997132,1856,1663327196.018174,1040,7516.507837,208,192,32,16,0
1663326277.838906,6598.328569,258236,1663326277.338963,234760,6597.828626,0,0,5869,5869,1
1663327931.210469,8251.700132,933,1663327930.801439,1239,8251.291102,147,153,15,21,0
1663324340.525186,4661.014849,1160,1663324340.033642,650,4660.523305,130,120,20,10,0
1663325028.012985,5348.502648,696,1663325027.5157,390,5348.005363,78,72,12,6,0
1663323644.78244,3965.272103,130812,1663323644.282537,118920,3964.7722,0,0,2973,2973,1
1663323256.51766,3577.007323,992,1663323256.017739,520,3576.507402,104,108,17,8,0
1663325088.016561,5408.506224,928,1663325088.010721,520,5408.500384,104,96,16,8,0
1663321482.523455,1803.013118,580,1663321482.518668,325,1803.008331,65,60,10,5,0
1663323530.51074,3851.000403,348,1663323530.010904,195,3850.500567,39,36,6,3,0
1663319769.507835,89.997498,1044,1663319769.021152,585,89.510815,117,108,18,9,0
1663322097.52565,2418.015313,580,1663322097.518268,325,2418.007931,65,60,10,5,0
1663325969.526107,6290.01577,1160,1663325969.030775,650,6289.520438,130,120,20,10,0
