sBytesAvg,rBytesAvg,sFinRate,rFinRate,sSynRate,rSynRate,sRstRate,rRstRate,sttl,rttl,sAckRate,rAckRate,sAckDelayMax,rAckDelayMax,sPackets,rPackets,protocol,sWinTCP,rWinTCP,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,NST_B_Label
65.0,60.571,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.486,9,14,IPV4-TCP,509.0,502.0,13.0,8.571,0.0623077452182769,0.0384408510648287,0
65.0,58.207,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.005,0.472,14,29,IPV4-TCP,509.0,502.0,13.0,6.207,0.0382162240835336,0.0178514633859906,0
40.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,48.065,1.0,0.0,0.0,,3541,3542,IPV4-TCP,0.0,1024.0,0.0,0.0,0.0001412133039054,0.0001412027806624,1
65.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.16,0.149,4,4,IPV4-TCP,509.0,502.0,13.0,12.0,0.1482966740926107,0.1489260196685791,1
40.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,47.947,1.0,0.0,0.0,,5740,5740,IPV4-TCP,0.0,1024.0,0.0,0.0,8.711550663231682e-05,8.711571435019371e-05,1
40.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,48.098,1.0,0.0,0.0,,4032,4032,IPV4-TCP,0.0,1024.0,0.0,0.0,0.0001239982440317,0.0001239987172018,1
,93.0,,,,,,,,,,,,,0,1,IPV4-ICMP,,,,65.0,,,1
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.198,0.202,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0207706928253173,0.0296518632343837,0
65.0,58.857,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.479,16,28,IPV4-TCP,509.0,502.0,13.0,6.857,0.0327732563018798,0.0182786605976246,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.003,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0021157264709472,0.0010312133365207,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.486,16,32,IPV4-TCP,509.0,502.0,13.0,6.0,0.0331610679626464,0.0160649053512081,0
59.35,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.208,0.2,20,15,IPV4-TCP,503.05,506.2,7.35,10.2,0.0212425809157522,0.028895514351981,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.485,10,20,IPV4-TCP,509.0,502.0,13.0,6.0,0.0551023218366834,0.0261297853369461,0
65.0,58.621,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.477,16,29,IPV4-TCP,509.0,502.0,13.0,6.621,0.0328020731608072,0.0176267794200352,0
65.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.003,0.495,5,8,IPV4-TCP,509.0,502.0,13.0,9.0,0.0005149841308593,0.0713798659188406,0
64.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.0,1,2,IPV4-TCP,509.0,502.0,12.0,8.5,,0.0009620189666748,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.199,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0209674000740051,0.0299982854298182,0
65.0,58.905,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.04,0.303,1746,3031,IPV4-TCP,509.0,502.0,13.0,6.905,0.0002861628218161,0.0001648016888709,1
65.0,59.111,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.478,16,27,IPV4-TCP,509.0,502.0,13.0,7.111,0.0325165271759033,0.0187979203004103,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.0,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0005965232849121,0.0003210968441433,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.241,0.204,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0218591570854187,0.0312100819178989,0
59.35,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.194,0.2,20,15,IPV4-TCP,503.05,506.2,7.35,10.2,0.0210924775976883,0.0285484279905046,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.209,0.204,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0207660913467407,0.029676147869655,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.0,5,10,IPV4-TCP,509.0,502.0,13.0,6.0,0.0003157258033752,0.0001536740197075,0
65.0,58.222,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.17,14,27,IPV4-TCP,509.0,502.0,13.0,6.222,0.0345576176276573,0.0173028432405911,1
65.0,57.778,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.0,0.486,14,27,IPV4-TCP,509.0,502.0,13.0,5.778,0.0380549981043889,0.0190267746265117,0
65.0,57.333,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.002,5,9,IPV4-TCP,509.0,502.0,13.0,5.333,0.0019695162773132,0.0009653568267822,0
65.0,58.857,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.002,0.489,8,14,IPV4-TCP,509.0,502.0,13.0,6.857,0.0713405949728829,0.0384543859041654,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.199,0.209,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.020448100566864,0.0292390584945678,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.201,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0202845454216003,0.0289509296417236,0
65.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.001,0.493,9,18,IPV4-TCP,509.0,502.0,13.0,6.0,0.0623426437377929,0.0294009376974666,0
59.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,1.0,1.0,0.197,0.2,21,15,IPV4-TCP,503.0,506.2,7.0,10.2,0.0201888442039489,0.0289114373070853,0
