k,redundancy
1,0.0
2,3.3914068413712606
3,1.1913192875605372
4,1.7397448344344344
5,1.113676232635314
6,1.432931436501108
7,1.0576049615656604
8,0.8291021690386906
9,0.691497247469579
10,0.576747242866242
11,0.5143701688160673
12,0.4430002068069514
13,0.388351180451246
14,0.3340857780539428
15,0.2903659300082119
16,0.26851863077736066
17,0.2563344307853279
18,0.2570835256184793
19,0.2500000132322806
20,0.24264755507452498
21,0.24178394415731794
22,0.24707680438894122
23,0.24873804887960238
24,0.2282815726934624
25,0.2145084251931277
26,0.20825618523931794
27,0.21532389423456094
28,0.20731788853520253
29,0.21018868941560273
30,0.21637897407109977
31,0.21879937848213846
32,0.22607206053880427
33,0.2193746307024665
34,0.2146378099724498
35,0.21007135335449323
36,0.20531751942717183
37,0.20054804282031227
38,0.19373804706487854
39,0.18720181694542926
40,0.18112331130882742
41,0.18111697368289062
42,0.17564019154797225
43,0.16870853262409208
44,0.1612084413581896
45,0.1541694691380414
46,0.14782276410318088
47,0.14200449865357498
48,0.13610958445898183
49,0.13057362403435752
50,0.12535067907298322
51,0.12043496616816035
52,0.11580285208476956
53,0.11143293313817448
