feature,mi
end,0.5893935271586275
endOffset,0.5874950913240748
rBytesSum,0.5871986293596803
start,0.5864076800033475
sBytesSum,0.5856741879735774
startOffset,0.5736463633939457
sPayloadSum,0.5563608696114601
rPayloadSum,0.5561908635372177
rPackets,0.535609010096098
NST_B_Label,0.49822463808934647
sPackets,0.4968679861859018
rBytesAvg,0.4960312000677354
rInterPacketAvg,0.4771361904553557
sLoad,0.46869413866356857
rLoad,0.467447333954639
sInterPacketAvg,0.45874175831784814
rPayloadAvg,0.4529097739939003
rPshRate,0.41275861932785163
rAckDelayAvg,0.41226341332349725
sAckDelayAvg,0.4070796975037232
sBytesAvg,0.35992216790248466
rAckDelayMax,0.350578850026656
sPayloadAvg,0.3190762251891428
sWinTCP,0.2976037909551481
rWinTCP,0.2968645591163641
rBytesMin,0.2799068720057434
sPshRate,0.26875222111374275
IT_B_Label,0.26844622231613124
duration,0.2674513577752282
sBytesMin,0.26323189393192137
sAckDelayMax,0.254955152574488
rBytesMax,0.2472598390468217
rttl,0.23059179617346248
sBytesMax,0.226516694165519
rPayloadMax,0.21505132526061077
sPayloadMax,0.1861242763323392
rAckRate,0.16346792224933737
sttl,0.12920182920980228
rSynRate,0.11719528935893986
sRstRate,0.11112371872227444
sPayloadMin,0.08387935713849637
sAckRate,0.07764856271075504
rPayloadMin,0.0666367391367142
rAckDelayMin,0.037581725241784936
sAckDelayMin,0.026613882848067094
rRstRate,0.023566095348636518
sSynRate,0.02020652695977465
rFinRate,0.0070263650191837446
sFinRate,0.005077327257773101
rUrgRate,0.0
rFragmentRate,0.0
sFragmentRate,0.0
sUrgRate,0.0
