k,features,DT_acc,DT_f1,RF_acc,RF_f1,ANN_acc,ANN_f1
1,end,0.5503062117235346,0.6233320108395839,0.5503062117235346,0.6233320108395839,0.8028215223097113,0.715015201125337
2,"end,rBytesSum",0.9178696412948382,0.9267060522176462,0.9405074365704287,0.9448700605225244,0.8933727034120735,0.8781904222257988
3,"end,rBytesSum,endOffset",0.9646762904636921,0.966161577803105,0.9837051618547682,0.9836393608466136,0.893591426071741,0.8823352572273779
4,"end,rBytesSum,endOffset,start",0.9644575678040245,0.9659596695329523,0.982830271216098,0.9827967769142588,0.897419072615923,0.8878352070643718
5,"end,rBytesSum,endOffset,start,sBytesSum",0.9566929133858267,0.9590866365551196,0.9812992125984252,0.981234090545116,0.9075896762904637,0.9009803855580764
6,"end,rBytesSum,endOffset,start,sBytesSum,startOffset",0.9563648293963255,0.9587908014948678,0.9838145231846019,0.9837972808671989,0.9059492563429571,0.8927406259337166
7,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum",0.9616141732283464,0.9633748119432849,0.9820647419072616,0.9820857484768816,0.9062773403324584,0.8980116933234649
8,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum",0.9624890638670166,0.9642139468780166,0.9829396325459318,0.9829298467856767,0.9083552055993,0.9007327159245491
9,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets",0.9648950131233596,0.9664992568154506,0.9800962379702537,0.9800771259452513,0.90748031496063,0.9001473827247686
10,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets",0.9643482064741907,0.9659792238085184,0.9785651793525809,0.9784778377670834,0.9080271216097988,0.9023015683920514
11,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg",0.9611767279090113,0.9630803079266944,0.9782370953630796,0.978153286376412,0.9267279090113736,0.9231805550898646
12,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg",0.9701443569553806,0.9711945156619308,0.9857830271216098,0.98556133028242,0.9498031496062992,0.9479975158102264
13,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad",0.9724409448818898,0.9732941554904906,0.9870953630796151,0.9868959876771702,0.9518810148731408,0.9499241988734006
14,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad",0.9722222222222222,0.9731486319189471,0.9867672790901137,0.9865467449071909,0.9493657042869641,0.9477199888794284
15,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg",0.9722222222222222,0.9731076781639896,0.9862204724409449,0.9860369616536716,0.9581146106736658,0.9566485555758667
16,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg",0.972331583552056,0.9731492235317242,0.9863298337707787,0.9861794164085914,0.9561461067366579,0.9526048548864644
17,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg",0.9724409448818898,0.9732639991785251,0.9868766404199475,0.9866528078466238,0.9520997375328084,0.9497261265383442
18,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate",0.972769028871391,0.9735483641291248,0.9869860017497812,0.986812332264726,0.9583333333333334,0.9563685019426219
19,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg",0.9762685914260717,0.9768210476419502,0.9876421697287839,0.9874014033264551,0.9612860892388452,0.9604475906973703
20,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg",0.9760498687664042,0.9766507478806441,0.9877515310586177,0.9875721336702333,0.965660542432196,0.9649095965692389
21,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax",0.9925634295713036,0.9925441565018263,0.9952974628171478,0.9952845645411269,0.9829396325459318,0.9834950997210212
22,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg",0.9922353455818023,0.992220500041143,0.9954068241469817,0.9953879939387054,0.9826115485564304,0.9817777702820927
23,"end,rBytesSum,endOffset,start,sBytesSum,startOffset,rPayloadSum,sPayloadSum,rPackets,sPackets,rBytesAvg,rInterPacketAvg,sLoad,rLoad,sInterPacketAvg,rPayloadAvg,rAckDelayAvg,rPshRate,sAckDelayAvg,sBytesAvg,rAckDelayMax,sPayloadAvg,sWinTCP",0.9921259842519685,0.9920948120879713,0.9950787401574803,0.9950546672964272,0.981408573928259,0.9821296210943474
