feature,select_count,selection_prob,avg_mi
endOffset,30,1.0,0.6280531762188903
startOffset,30,1.0,0.6245932895728897
end,30,1.0,0.6145341241875042
start,30,1.0,0.6128469688958985
rBytesSum,30,1.0,0.5961232869031331
sBytesSum,30,1.0,0.5917407421906541
sPayloadSum,30,1.0,0.5583060687852175
rPayloadSum,30,1.0,0.5582349213202501
rPackets,30,1.0,0.5388142690944069
rInterPacketAvg,30,1.0,0.5154472190124525
rLoad,30,1.0,0.5119242201961671
sLoad,30,1.0,0.5110001589528711
sPackets,30,1.0,0.4999350344006489
rBytesAvg,30,1.0,0.49877417164155896
sInterPacketAvg,30,1.0,0.4941103979940212
rPayloadAvg,30,1.0,0.4529583024206854
rAckDelayAvg,30,1.0,0.4480420439066222
sAckDelayAvg,30,1.0,0.4295873059788177
rPshRate,30,1.0,0.4152645979509309
rAckDelayMax,30,1.0,0.36037050854111563
sBytesAvg,30,1.0,0.36005240618821294
duration,30,1.0,0.3230880173975477
sPayloadAvg,30,1.0,0.3209775826403142
sWinTCP,30,1.0,0.29801817272113507
rWinTCP,30,1.0,0.29769975968560325
rBytesMin,30,1.0,0.28010376610505167
sPshRate,30,1.0,0.2663783940046523
sBytesMin,30,1.0,0.2630717847912153
sAckDelayMax,30,1.0,0.2623042955930762
rBytesMax,30,1.0,0.24709904808085892
