feature,mi
MV301,0.286079443391976
P403,0.2851531789151688
P301,0.2829385219013968
P206,0.2818752392770403
P102,0.27435751134914577
MV304,0.27372050474535536
P602,0.2685244192126721
P401,0.2561457001115087
P502,0.2560200903029267
P601,0.2556802303581788
P603,0.2554200204260254
P404,0.25516263340268364
P501,0.24908339743506436
UV401,0.24794666165546497
P402,0.2460043531367878
MV302,0.2288741062711006
P302,0.224554989729699
P101,0.2197126122490335
P203,0.21907354709073856
P205,0.21456251018337447
AIT401,0.11658603375554943
 P202,0.07884183163756653
 P204,0.07882226009368964
 MV303,0.07475184137825353
 MV201,0.04689774267154767
 MV101,0.04481671994797931
 P201,0.037147067724950356
FIT504,0.01010506670625877
PIT502,0.009333765225179591
FIT503,0.004969877394055744
AIT504,0.0033182610481057306
FIT301,0.0021318301277946095
FIT201,0.0016175135376684802
DPIT301,0.001299490400011316
FIT501,0.001100769290003023
FIT401,0.0010969543995840159
FIT502,0.0010900182351858412
AIT202,0.0010431991254981066
AIT501,0.000853841837427316
AIT503,0.0007140781248037298
PIT503,0.0005410208230688385
AIT502,0.0005122357408162692
PIT501,0.0005028719188787667
FIT101,0.0004990570284597595
AIT402,0.00029339975405329177
AIT203,0.00026600190468040186
LIT101,0.00021051258949489338
 AIT201,0.0001571041236287929
LIT301,0.0001248509591771363
LIT401,4.9940383676672084e-05
FIT601,1.3178712366279655e-05
