k,features,DT_acc,DT_f1,RF_acc,RF_f1,ANN_acc,ANN_f1
1,id.resp_p,0.9980557355800389,0.9980452682955373,0.9980557355800389,0.9980452682955373,0.9168286887016635,0.8770474371350974
2,"id.resp_p,orig_ip_bytes",0.9995679412400087,0.9995684499873139,1.0,1.0,0.9168286887016635,0.8770474371350974
3,"id.resp_p,orig_ip_bytes,id.orig_p",0.9997839706200043,0.999784097989803,1.0,1.0,0.9924389717001513,0.9925466880209973
4,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0",0.9997839706200043,0.999784097989803,1.0,1.0,0.9984877943400302,0.9984922267651185
5,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0,orig_pkts",0.9997839706200043,0.999784097989803,1.0,1.0,0.9984877943400302,0.9984922267651185
6,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0,orig_pkts,duration",0.9997839706200043,0.999784097989803,1.0,1.0,0.998703823720026,0.9987068674549175
7,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0,orig_pkts,duration,orig_bytes",0.9997839706200043,0.999784097989803,1.0,1.0,0.998703823720026,0.9987068674549175
8,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0,orig_pkts,duration,orig_bytes,resp_ip_bytes",0.9997839706200043,0.999784097989803,1.0,1.0,0.9976236768200475,0.9976361428064943
9,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0,orig_pkts,duration,orig_bytes,resp_ip_bytes,resp_bytes",0.9997839706200043,0.999784097989803,1.0,1.0,0.998703823720026,0.9987068674549175
10,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0,orig_pkts,duration,orig_bytes,resp_ip_bytes,resp_bytes,resp_pkts",0.9997839706200043,0.999784097989803,1.0,1.0,0.9982717649600346,0.9982758232732231
11,"id.resp_p,orig_ip_bytes,id.orig_p,Unnamed: 0,orig_pkts,duration,orig_bytes,resp_ip_bytes,resp_bytes,resp_pkts,missed_bytes",0.9997839706200043,0.999784097989803,1.0,1.0,0.998703823720026,0.9987068674549175
