feature,mean,std
sBytesAvg,0.005730533683289585,0.00038572161173552406
rBytesAvg,0.011472003499562566,0.0004727901645060873
rFinRate,0.0001312335958005173,4.374453193354277e-05
sttl,0.0005905511811023611,0.0001636770510399813
rttl,0.04352580927384079,0.0009496191315001159
sAckDelayMax,0.011876640419947515,0.0010226307723150384
rAckDelayMax,0.21217191601049867,0.003564055370327329
sPackets,0.06020341207349082,0.0026019034680570424
rPackets,0.10974409448818898,0.003111036716223618
sWinTCP,0.019258530183727064,0.0008306423163498825
rWinTCP,0.002405949256342954,0.000276664712175701
sInterPacketAvg,0.029494750656168002,0.0014599225532586095
rInterPacketAvg,0.09064960629921262,0.002275898348240851
