index,true,pred_label,pred_prob,shap_sBytesAvg,shap_rBytesAvg,shap_sFinRate,shap_rFinRate,shap_sSynRate,shap_rSynRate,shap_sRstRate,shap_rRstRate,shap_sttl,shap_rttl,shap_sAckRate,shap_rAckRate,shap_sAckDelayMax,shap_rAckDelayMax,shap_sPackets,shap_rPackets,shap_sWinTCP,shap_rWinTCP,shap_sPayloadAvg,shap_rPayloadAvg,shap_sInterPacketAvg,shap_rInterPacketAvg
0,0,0,0.9772845482005763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029667638098333855,-0.029667638098333823,0.020577930068910327,-0.020577930068910222,0.013043676026279455,-0.0130436760262794
1,0,0,0.9445787277824875,0.0,0.0,0.006681989029345692,-0.006681989029345664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026556276026560396,-0.02655627602656033,0.018176122819386742,-0.01817612281938655,0.011430675402009571,-0.011430675402009427
2,1,1,0.9824102962396745,0.0,0.0,-0.17408385390700828,0.1740838539070082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4372149338180202,0.4372149338180204,-0.264897117694696,0.2648971176946959,-0.1678999859128827,0.16789998591288263
3,1,1,0.9862150011723513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010136438002435428,-0.010136438002435327,0.009672491308151954,-0.009672491308151954,0.0,0.0
4,0,0,0.9664084222471019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030225278278919222,-0.0302252782789191,0.021470726570775055,-0.02147072657077499,0.01479735613561962,-0.014797356135619616
5,1,1,0.9999423382638872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014975891477393262,-0.014975891477393073,0.01193173184705195,-0.011931731847052048,0.0,0.0
6,0,0,0.9330451033926586,0.0,0.0,0.009389561358165877,-0.009389561358165932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02859113646524272,-0.02859113646524275,0.019468416763790106,-0.019468416763790068,0.01024789717851424,-0.010247897178514234
7,0,0,0.9811946677692662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03397297237893284,-0.03397297237893286,0.020467154409537995,-0.020467154409538005,0.009077329650759164,-0.009077329650759275
8,0,0,0.9702909048703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029534102177365913,-0.029534102177366052,0.016925015761635645,-0.016925015761635548,0.012941287320542779,-0.01294128732054272
9,0,0,0.9676908117302246,0.006511220330779055,-0.006511220330779027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02417194462049306,-0.024171944620493196,0.019076283812750176,-0.019076283812750262,0.01140516613155937,-0.011405166131559334
10,0,0,0.96737493113944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03326844150339489,-0.03326844150339506,0.02233310144910577,-0.022333101449105854,0.015842443897091246,-0.015842443897091385
11,0,0,0.974203758203581,0.0,0.0,0.007045011338543156,-0.0070450113385431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02935355536704773,-0.029353555367047927,0.015563133147815687,-0.015563133147815773,0.009848908550136306,-0.00984890855013633
12,0,0,0.9776444702067802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374910498655732,-0.03749104986557328,0.021278821254605295,-0.021278821254605344,0.012226007546757733,-0.012226007546757706
13,1,1,0.9982597878778195,-0.012892103703547708,0.012892103703547911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013430123885532426,0.01343012388553243,0.0,0.0
14,1,1,0.886170277635227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016685141560590387,-0.01668514156059031,0.014920217404850944,-0.014920217404850611,0.0,0.0
15,0,0,0.9647375837136788,0.0,0.0,0.010198825689646753,-0.010198825689646841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033352252973723344,-0.033352252973723254,0.0,0.0,0.013644101880338063,-0.013644101880338063
16,0,0,0.9734201035896363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02968137688564255,-0.029681376885642635,0.022094504189332027,-0.022094504189332093,0.01202254574574746,-0.012022545745747543
17,0,0,0.9564371042413436,0.009357582750233035,-0.009357582750233111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02007018381750348,-0.020070183817503515,0.02026041257317148,-0.02026041257317148,0.010464886971379539,-0.010464886971379622
18,0,0,0.9661908770081007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03276105517669726,-0.03276105517669722,0.01952460834472277,-0.019524608344722756,0.015000144219631473,-0.015000144219631445
19,1,1,0.9275645792544821,-0.23240552522709834,0.23240552522709856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5366421073478389,0.536642107347839,0.0,0.0,-0.2096850268411393,0.20968502684113907
20,0,0,0.9714241929382914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03227584450792277,-0.03227584450792262,0.02125174696428739,-0.021251746964287194,0.011432095329097919,-0.011432095329097725
21,0,0,0.8813358261241614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02722272467554664,-0.02722272467554674,0.02008347828895175,-0.02008347828895178,0.013380331613077667,-0.013380331613077806
22,0,0,0.9750289242208011,0.01341753177504984,-0.013417531775049923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03561571712551213,-0.03561571712551208,0.017808775950217178,-0.017808775950217126,0.0,0.0
