feature,importance
sBytesAvg,0.010790982405182142
rBytesAvg,0.0030223741056827945
sFinRate,0.0006562368508209813
rFinRate,0.001839182169325324
sSynRate,8.219003144131579e-19
rSynRate,0.0
sRstRate,0.0
rRstRate,0.0
sttl,0.060646910153294445
rttl,0.08239512623440426
sAckRate,1.8883541182758773e-18
rAckRate,0.00010659070175935513
sAckDelayMax,0.020229467372268634
rAckDelayMax,0.2864371337835944
sPackets,0.015628615859261563
rPackets,0.2612092423654274
sWinTCP,0.045504541147475534
rWinTCP,0.09490974618129969
sPayloadAvg,0.010644259970055449
rPayloadAvg,0.002304460251319686
sInterPacketAvg,0.04178495858308777
rInterPacketAvg,0.061890171865740584
