feature,mean,std
sBytesAvg,0.00795056867891516,0.0006070292688704281
rBytesAvg,0.0012139107611548682,0.0001793659171791006
sFinRate,0.0,0.0
rFinRate,0.00010936132983374591,0.0
sSynRate,0.0,0.0
rSynRate,0.0,0.0
sRstRate,0.0,0.0
rRstRate,0.0,0.0
sttl,0.009448818897637823,0.0010331028590218356
rttl,0.03185695538057744,0.001191034757644667
sAckRate,0.0,0.0
rAckRate,0.0,0.0
sAckDelayMax,0.0027996500437445283,0.000560203345357196
rAckDelayMax,0.20055774278215224,0.003935321525688602
sPackets,0.030205599300087482,0.0014556153221325237
rPackets,0.12970253718285218,0.0025005271368377605
sWinTCP,0.006277340332458447,0.0005537615442332595
rWinTCP,0.006856955380577445,0.00055988301558049
sPayloadAvg,0.0008420822397200323,0.00021346479982439754
rPayloadAvg,0.00031714785651796305,0.00012421059374015378
sInterPacketAvg,0.006474190726159257,0.0005006790525922689
rInterPacketAvg,0.026301399825021887,0.0010377808230518403
