feature,mean,std
end,0.003433945756780421,0.0004895675696762804
endOffset,0.0719160104986877,0.0018752837471016654
rBytesSum,0.14034339457567807,0.0023276499970460644
start,0.005971128608923915,0.000729039077537128
sBytesSum,0.05051399825021875,0.00192018689552386
startOffset,0.10189195100612425,0.002709447638025244
sPayloadSum,0.05814741907261595,0.0020471611370978006
rPayloadSum,0.027602799650043773,0.0014091919219461706
rPackets,0.06174540682414703,0.001170932529687147
sPackets,0.012139107611548582,0.0006263263807207398
