feature,mean,std
end,0.0016841644794400646,0.00039793100172047106
endOffset,0.03752187226596676,0.0009860123268185402
rBytesSum,0.1350612423447069,0.0012678369856683731
start,0.0014763779527558808,0.0004326343054429872
sBytesSum,0.021653543307086586,0.0012631115238828435
startOffset,0.07784339457567804,0.00126859142607175
sPayloadSum,0.04854549431321083,0.0011006445011439276
rPayloadSum,0.015999562554680668,0.0008938909049396069
rPackets,0.07308617672790901,0.001903044260968275
sPackets,0.020516185476815395,0.001089449641768347
