feature,mean,std
end,-8.748906386706335e-05,0.0002624671916010559
endOffset,0.03749999999999996,0.0012014326393438928
rBytesSum,0.1329943132108486,0.00114014103571648
start,0.00043744531933502805,0.00045879652150925947
sBytesSum,0.027460629921259794,0.001571496053640319
startOffset,0.07519685039370073,0.0015682582476153387
sPayloadSum,0.03369422572178473,0.0012014326393438796
rPayloadSum,0.014096675415573,0.0007504610001879743
rPackets,0.06944444444444439,0.00150664830265045
sPackets,0.01617454068241464,0.0009024132216044017
