feature,importance
sBytesAvg,0.001789823802047452
rBytesAvg,0.0018327280024353202
sFinRate,0.0011285650333566146
rFinRate,0.0032486919047038875
sSynRate,0.0
rSynRate,0.0
sRstRate,0.0
rRstRate,0.0
sttl,0.0065472864666200805
rttl,0.08921932873081392
sAckRate,0.0
rAckRate,2.0255535747456207e-06
sAckDelayMax,0.0035574995150255083
rAckDelayMax,0.2459852832309711
sPackets,0.007645194792044191
rPackets,0.4783707011214553
sWinTCP,0.00642422731568657
rWinTCP,0.0019426958346420648
sPayloadAvg,0.0005045368486422629
rPayloadAvg,0.0005791097069666
sInterPacketAvg,0.09326896381836501
rInterPacketAvg,0.0579533383226496
