feature,mean,std
sBytesAvg,0.005194663167104119,0.0006474523235177447
rBytesAvg,0.0009733158355205718,0.0001421697287838876
sFinRate,0.00021872265966756954,0.0001197993345374512
rFinRate,0.0001312335958005173,4.374453193354277e-05
sSynRate,0.0,0.0
rSynRate,0.0,0.0
sRstRate,0.0,0.0
rRstRate,0.0,0.0
sttl,0.02508748906386704,0.001541335339234288
rttl,0.03330052493438322,0.0011750619168599526
sAckRate,0.0,0.0
rAckRate,0.0,0.0
sAckDelayMax,0.01344050743657046,0.0009811485046962833
rAckDelayMax,0.2759733158355206,0.004599225799404063
sPackets,0.03256780402449696,0.001672763674978038
rPackets,0.15818022747156607,0.0024698234010054236
sWinTCP,0.017421259842519677,0.0013781697255892608
rWinTCP,0.10941601049868765,0.002582988670763106
sPayloadAvg,0.00018591426071743467,9.84251968504182e-05
rPayloadAvg,0.00031714785651796305,0.0001141765803686573
sInterPacketAvg,0.02351268591426072,0.000677687374664456
rInterPacketAvg,0.041797900262467214,0.0010746385386297646
