feature,importance
sBytesAvg,0.02929579877024306
rBytesAvg,0.013475643328890874
sFinRate,0.00043845979189376935
rFinRate,0.000246449490528252
sSynRate,4.108339466429823e-05
rSynRate,2.8489186909585933e-06
sRstRate,0.0
rRstRate,9.669024969913705e-06
sttl,0.05278829799365672
rttl,0.03754537553096337
sAckRate,0.000927590231160593
rAckRate,0.00015652366917502558
sAckDelayMax,0.02337651199237272
rAckDelayMax,0.25492768742371175
sPackets,0.10479553667161798
rPackets,0.17112212019211617
sWinTCP,0.03215362458225274
rWinTCP,0.05661584241291346
sPayloadAvg,0.04925641684131074
rPayloadAvg,0.0215234582609588
sInterPacketAvg,0.0848549051517043
rInterPacketAvg,0.06644615632620442
