feature,mean,std
sBytesAvg,0.006999890626708932,0.00047170203768671497
rBytesAvg,0.002110904517116896,0.001825616828312398
sFinRate,0.0012249808596740408,0.00013660719672751312
sttl,0.0,0.0
rttl,0.0,0.0
sAckDelayMax,0.008552991359509992,0.0019933563600384088
rAckDelayMax,-0.01698567209887348,0.0035040614809024265
sPackets,0.0,0.0
rPackets,-0.009646724269933299,0.00061249042983703
sWinTCP,0.008727988625177707,0.0006756401711245833
rWinTCP,-0.014349775784753388,0.0005783355164126558
sInterPacketAvg,-0.17229574537897846,0.0022334925851741935
rInterPacketAvg,-0.09520944985234608,0.0033204297316257827
