feature,mean,std
sBytesAvg,0.004101498414087301,0.000497017073936411
rBytesAvg,0.0014218527835503148,0.0011046160930069068
sFinRate,0.016034124466805234,0.0015956509876265577
sttl,0.0,0.0
rttl,0.0,0.0
sAckDelayMax,0.05708192059499073,0.0034640266988465104
rAckDelayMax,0.07108170184840865,0.0034519187928987284
sPackets,0.0008312370119216705,0.00011153930905813568
rPackets,0.026162091217324768,0.0009877564829815942
sWinTCP,0.028437055671005174,0.0018242730530082575
rWinTCP,-0.0021437165044295714,0.0006920832120553878
sInterPacketAvg,0.06832549491414201,0.0030286923749978044
rInterPacketAvg,0.07973312916985674,0.0030334086301562185
