index,true,pred_label,pred_prob,shap_sBytesAvg,shap_rBytesAvg,shap_sFinRate,shap_rFinRate,shap_sSynRate,shap_rSynRate,shap_sRstRate,shap_rRstRate,shap_sttl,shap_rttl,shap_sAckRate,shap_rAckRate,shap_sAckDelayMax,shap_rAckDelayMax,shap_sPackets,shap_rPackets,shap_sWinTCP,shap_rWinTCP,shap_sPayloadAvg,shap_rPayloadAvg,shap_sInterPacketAvg,shap_rInterPacketAvg
0,0,0,0.8336511568617407,0.0,0.0,0.0,0.0,-0.015418353376437988,0.015418353376438071,0.09494756179302077,-0.094947561793021,0.0,0.0,0.0,0.0,0.009468265688952563,-0.009468265688952494,0.0,0.0,0.0,0.0,0.02238140673106692,-0.02238140673106694,0.0,0.0
1,0,0,0.8993082570639337,0.0,0.0,0.0,0.0,0.0,0.0,-0.1870499388743297,0.1870499388743298,0.0,0.0,0.0,0.0,0.01181759749469842,-0.01181759749469849,0.0,0.0,0.0,0.0,0.026991238238737884,-0.026991238238737916,0.0,0.0
2,0,0,0.9038922512118215,0.0,0.0,0.0,0.0,0.007859121793647427,-0.007859121793647424,-0.18547818057115484,0.18547818057115484,0.0,0.0,0.0,0.0,0.011959137600647018,-0.011959137600647105,0.0,0.0,0.0,0.0,0.025571004905711903,-0.025571004905711955,0.0,0.0
3,0,0,0.8448274817602783,0.0,0.0,0.0,0.0,-0.014764477220134894,0.014764477220134825,0.09441092243013258,-0.09441092243013259,0.0,0.0,0.0,0.0,0.009333820990267168,-0.009333820990267189,0.0,0.0,0.0,0.0,0.024137846584851637,-0.02413784658485164,0.0,0.0
4,0,0,0.9011840467517981,0.0,0.0,0.0,0.0,0.0,0.0,-0.18593518048822102,0.18593518048822105,0.0,0.0,0.0,0.0,0.01181883199141269,-0.01181883199141276,0.0,0.0,0.0,0.0,0.024222854197431993,-0.024222854197432114,0.0,0.0
5,0,0,0.8410319131729481,0.0,0.0,0.0,0.0,-0.01580103520859852,0.015801035208598428,0.09515117882753517,-0.09515117882753502,0.0,0.0,0.0,0.0,0.011942260324716373,-0.011942260324716429,0.0,0.0,0.0,0.0,0.024157989940229718,-0.024157989940229743,0.0,0.0
6,0,0,0.8793707690671588,0.0,0.0,0.0,0.0,-0.015661297644420702,0.01566129764442066,0.08907309647970875,-0.08907309647970876,0.0,0.0,0.0,0.0,0.010745945848286044,-0.010745945848286009,0.0,0.0,0.0,0.0,0.022970897663849795,-0.022970897663849833,0.0,0.0
7,1,0,0.8529291101950444,0.0,0.0,0.0,0.0,-0.013778380304653726,0.013778380304653781,0.09467335113620723,-0.09467335113620726,0.0,0.0,0.0,0.0,0.01043539887124259,-0.010435398871242618,0.0,0.0,0.0,0.0,0.02462452774923076,-0.02462452774923084,0.0,0.0
8,0,0,0.8702323213674428,0.0,0.0,0.0,0.0,0.0,0.0,-0.19675114703248148,0.19675114703248156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02480092831941509,-0.024800928319415275,0.007970833863995386,-0.007970833863995344
9,0,0,0.8582445749079541,0.0,0.0,0.0,0.0,-0.014193415207007717,0.014193415207007815,0.09515238342455815,-0.09515238342455803,0.0,0.0,0.0,0.0,0.012111542828728922,-0.012111542828728823,0.0,0.0,0.0,0.0,0.025917856667472868,-0.025917856667472823,0.0,0.0
10,0,0,0.8994552524142676,0.0,0.0,0.0,0.0,0.0,0.0,-0.18625968666151377,0.18625968666151377,0.0,0.0,0.0,0.0,0.010675711412454684,-0.010675711412454693,0.0,0.0,0.0,0.0,0.026528370302322822,-0.02652837030232289,0.0,0.0
11,0,0,0.8054928945333882,0.0,0.0,0.0,0.0,-0.015272945756638191,0.015272945756638191,0.09837931626092705,-0.09837931626092711,0.0,0.0,0.0,0.0,0.012014787685969254,-0.012014787685969308,0.0,0.0,0.0,0.0,0.02336154128446679,-0.023361541284466804,0.0,0.0
12,0,0,0.9015299696654746,0.0,0.0,0.0,0.0,0.0,0.0,-0.18620913580652343,0.18620913580652335,0.0,0.0,0.0,0.0,0.01083815791681353,-0.010838157916813551,0.0,0.0,0.0,0.0,0.02594454924945558,-0.02594454924945548,0.0,0.0
13,0,0,0.8642612449204427,0.0,0.0,0.0,0.0,-0.012761954201172349,0.012761954201172432,0.0932710485215333,-0.09327104852153312,0.0,0.0,0.0,0.0,0.011772515966378298,-0.011772515966378263,0.0,0.0,0.0,0.0,0.025430564257406682,-0.025430564257406633,0.0,0.0
14,0,0,0.87873201235225,0.0,0.0,0.0,0.0,-0.014888971151784974,0.014888971151785002,0.08913297936541523,-0.08913297936541519,0.0,0.0,0.0,0.0,0.009406760086212117,-0.009406760086212086,0.0,0.0,0.0,0.0,0.02314226482554242,-0.023142264825542345,0.0,0.0
15,1,0,0.8948564323278154,0.0,0.0,0.0,0.0,0.0,0.0,-0.19033615147352,0.19033615147352007,0.0,0.0,0.0,0.0,0.011454824801769117,-0.011454824801769212,0.0,0.0,0.0,0.0,0.024953052440002458,-0.0249530524400025,0.0,0.0
16,0,0,0.8684738677400028,0.0,0.0,0.0,0.0,-0.013532046194141027,0.013532046194141027,0.08896872113505906,-0.08896872113505905,0.0,0.0,0.0,0.0,0.00914267216121278,-0.009142672161212857,0.0,0.0,0.0,0.0,0.02273176588809901,-0.0227317658880991,0.0,0.0
17,0,0,0.5966290017186195,0.0,0.0,0.0,0.0,-0.018427654234256418,0.018427654234256463,0.10273878844862593,-0.10273878844862606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023744124230946923,-0.02374412423094698,0.0,0.0
18,0,0,0.6454934320388368,0.0,0.0,0.0,0.0,0.09031716514148876,-0.09031716514148863,-0.43523417746734233,0.4352341774673424,0.0,0.0,0.0,0.0,-0.355372351170888,0.35537235117088806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,0.8810307929591374,0.0,0.0,0.0,0.0,-0.015779306822883254,0.015779306822883324,0.08936093698064133,-0.0893609369806413,0.0,0.0,0.0,0.0,0.010870989421647834,-0.010870989421647803,0.0,0.0,0.0,0.0,0.023333680385628382,-0.023333680385628417,0.0,0.0
20,0,0,0.8765768562009981,0.0,0.0,0.0,0.0,-0.013699868929807443,0.013699868929807499,0.09028467223833976,-0.09028467223833968,0.0,0.0,0.0,0.0,0.010130882041448741,-0.010130882041448575,0.0,0.0,0.0,0.0,0.022653815004770726,-0.0226538150047707,0.0,0.0
21,0,0,0.8973802108521514,0.0,0.0,0.0,0.0,0.0,0.0,-0.18845488582229308,0.18845488582229303,0.0,0.0,0.0,0.0,0.011037388037825058,-0.011037388037824933,0.0,0.0,0.0,0.0,0.024700240448361492,-0.02470024044836146,0.0,0.0
22,1,1,0.9990956057542131,0.0,0.0,-0.09612579189682612,0.09612579189682643,0.03769445438200448,-0.03769445438200458,0.0,0.0,0.09737016582296976,-0.09737016582296995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2637909802327606,0.2637909802327606,-0.06801328375935627,0.06801328375935634
23,0,0,0.7132544876550806,0.0,0.0,0.0,0.0,-0.017503584411916642,0.01750358441191668,0.10154330644609955,-0.10154330644609968,0.0,0.0,0.0,0.0,0.01092879822406143,-0.01092879822406137,0.0,0.0,0.0,0.0,0.02354256246151659,-0.023542562461516568,0.0,0.0
24,0,0,0.9019014187449631,0.0,0.0,0.0,0.0,0.007215364424093415,-0.007215364424093512,-0.18456462332596726,0.18456462332596738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02607546059165675,-0.026075460591656847,0.0,0.0
25,0,0,0.8973170901640625,0.0,0.0,0.0,0.0,0.0,0.0,-0.18811200036704742,0.1881120003670474,0.0,0.0,0.0,0.0,0.011530535949974684,-0.011530535949974755,0.0,0.0,0.0,0.0,0.024683142116019328,-0.024683142116019356,0.0,0.0
26,1,0,0.8371725932284131,0.0,0.0,0.0,0.0,-0.01580760457051716,0.015807604570517202,0.09559851150620176,-0.09559851150620173,0.0,0.0,0.0,0.0,0.010798406314084056,-0.010798406314083965,0.0,0.0,0.0,0.0,0.023088498994909883,-0.02308849899490982,0.0,0.0
