feature,importance
sBytesAvg,0.00851027348075886
rBytesAvg,0.015616318148083612
sFinRate,0.005299322433861496
rFinRate,0.0013963929382179066
sSynRate,0.06793766748724483
rSynRate,0.007928623993678564
sRstRate,0.0009863560113784863
rRstRate,0.003638472829886555
sttl,0.0
rttl,0.0
sAckRate,0.0037119563076746798
rAckRate,0.0
sAckDelayMax,0.12031030502316817
rAckDelayMax,0.09120350066390473
sPackets,0.0
rPackets,0.03590059134542612
sWinTCP,0.014273113327889988
rWinTCP,0.007861983241888106
sPayloadAvg,0.006784487344047935
rPayloadAvg,0.016807822407406147
sInterPacketAvg,0.1789221910172508
rInterPacketAvg,0.4129106219982331
