feature,importance
sBytesAvg,0.005191875154026747
rBytesAvg,0.005639288372530038
sFinRate,0.007492758740044389
rFinRate,0.0029460735836781484
sSynRate,0.014627908277421506
rSynRate,0.0009205847004626471
sRstRate,0.0015878526681648193
rRstRate,0.000746755438074415
sttl,0.0
rttl,4.825441274292751e-05
sAckRate,0.0030296878087461244
rAckRate,0.0006817054316478063
sAckDelayMax,0.059502366797711134
rAckDelayMax,0.07402874600094711
sPackets,0.003092285922030108
rPackets,0.00808538335430534
sWinTCP,0.013491102681451613
rWinTCP,0.007739909777241811
sPayloadAvg,0.003885171488182353
rPayloadAvg,0.003355539407852247
sInterPacketAvg,0.3367337984805063
rInterPacketAvg,0.4471729515022324
