feature,mean,std
start,0.0,0.0
end,0.3200043749316417,0.002922457611298597
startOffset,0.0,0.0
endOffset,0.0,0.0
duration,0.0,0.0
sPackets,0.0,0.0
rPackets,0.0,0.0
sBytesSum,0.0,0.0
rBytesSum,0.0,0.0
sBytesMax,0.0,0.0
rBytesMax,0.0,0.0
sBytesMin,0.0,0.0
rBytesMin,0.0,0.0
sBytesAvg,0.0,0.0
rBytesAvg,0.0,0.0
sLoad,0.0,0.0
rLoad,0.0,0.0
sPayloadSum,0.0,0.0
rPayloadSum,0.0,0.0
sPayloadMax,0.0,0.0
rPayloadMax,0.0,0.0
sPayloadMin,0.0,0.0
rPayloadMin,0.0,0.0
sPayloadAvg,0.0,0.0
rPayloadAvg,0.0,0.0
sInterPacketAvg,0.0,0.0
rInterPacketAvg,0.0,0.0
sttl,0.0,0.0
rttl,0.0,0.0
sAckRate,0.0,0.0
rAckRate,0.0,0.0
sUrgRate,0.0,0.0
rUrgRate,0.0,0.0
sFinRate,0.0,0.0
rFinRate,0.0,0.0
sPshRate,0.0,0.0
rPshRate,0.0,0.0
sSynRate,0.0,0.0
rSynRate,0.0,0.0
sRstRate,0.0,0.0
rRstRate,0.0,0.0
sWinTCP,0.0,0.0
rWinTCP,0.0,0.0
sFragmentRate,0.0,0.0
rFragmentRate,0.0,0.0
sAckDelayMax,0.0,0.0
rAckDelayMax,0.0,0.0
sAckDelayMin,0.0,0.0
rAckDelayMin,0.0,0.0
sAckDelayAvg,0.0,0.0
label,0.0,0.0
