feature,importance
start,0.4785345454798886
end,0.1
startOffset,0.004836715772120303
endOffset,0.0
duration,0.0
sPackets,1.7763568394003984e-15
rPackets,0.0
sBytesSum,9.069134332400048e-14
rBytesSum,0.0
sBytesMax,0.0
rBytesMax,0.0
sBytesMin,0.0
rBytesMin,0.0
sBytesAvg,0.0
rBytesAvg,0.0
sLoad,0.0
rLoad,0.011969708983641617
sPayloadSum,0.0
rPayloadSum,0.0
sPayloadMax,0.0
rPayloadMax,6.800116025829666e-15
sPayloadMin,0.0
rPayloadMin,0.0
sPayloadAvg,0.0
rPayloadAvg,0.0
sInterPacketAvg,9.524879265791049e-16
rInterPacketAvg,4.108519080502091e-14
sttl,0.0
rttl,9.773505881675969e-16
sAckRate,9.427971279518634e-15
rAckRate,0.0
sUrgRate,0.0
rUrgRate,0.0
sFinRate,0.0
rFinRate,0.0
sPshRate,4.572731082673661e-15
rPshRate,0.0
sSynRate,0.0
rSynRate,0.0
sRstRate,6.729264203262884e-16
rRstRate,0.0
sWinTCP,1.5152677170330974e-14
rWinTCP,0.0
sFragmentRate,0.0
rFragmentRate,0.0
sAckDelayMax,0.0
rAckDelayMax,0.0
sAckDelayMin,0.0
rAckDelayMin,0.0
sAckDelayAvg,0.008191054844744824
label,0.39646797491943253
