feature,importance
endOffset,0.027219079451335868
startOffset,0.030475175973971563
end,0.0027888417909708875
start,0.007127385928503221
rBytesSum,0.4963771014887656
sBytesSum,0.12905407326321197
sPayloadSum,0.1532083077292554
rPayloadSum,0.010199449879260691
rPackets,0.0012079261928457246
rInterPacketAvg,0.0833995002051958
rLoad,0.00332180417958153
sLoad,0.017732145946729467
sPackets,0.000154923583562536
rBytesAvg,4.704876091025734e-05
sInterPacketAvg,0.021652741443346498
rPayloadAvg,9.488165135714338e-07
rAckDelayAvg,0.001321854569933497
sAckDelayAvg,0.0013801907885894493
rPshRate,2.248726518429642e-05
rAckDelayMax,0.001573209997809967
sBytesAvg,1.138435988022069e-05
duration,0.0024002008232423483
sPayloadAvg,0.00016761394415968283
sWinTCP,0.0005231911879955144
rWinTCP,0.0076275442371271625
rBytesMin,1.8997201423363227e-06
sPshRate,2.7469464544803057e-18
sBytesMin,4.725397577403439e-06
sAckDelayMax,1.9044639026753947e-06
rBytesMax,0.0009973386104949306
