feature,mean,std
endOffset,0.013549868766404238,0.0008013283071619551
startOffset,0.04207130358705167,0.0021053405212925736
end,0.008639545056867948,0.0009331027562424133
start,0.0063538932633421365,0.0003926361126643899
rBytesSum,0.041360454943132154,0.0006826109595068737
sBytesSum,0.12256124234470697,0.001567380985627626
sPayloadSum,0.0798447069116361,0.0008850163169809743
rPayloadSum,0.0456911636045495,0.0013284588485617122
rPackets,0.025218722659667615,0.0005450540592466074
rInterPacketAvg,0.05721784776902892,0.001604893816959243
rLoad,0.07132545931758534,0.0011684785992294871
sLoad,0.045723972003499626,0.0012906953689747174
sPackets,0.008989501312336012,0.0007729919968098088
rBytesAvg,0.002416885389326384,0.00040758191499528496
sInterPacketAvg,0.06779308836395456,0.0019326037658023935
rPayloadAvg,0.0,0.0
rAckDelayAvg,0.05219816272965886,0.0010455881126542111
sAckDelayAvg,0.032010061242344755,0.0015326591434301217
rPshRate,0.0009295713035870956,0.00025057828603213255
rAckDelayMax,0.10830052493438325,0.0007336996114488132
sBytesAvg,0.009339457567804077,0.0005406477294098262
duration,0.004866579177602859,0.0005538695215267236
sPayloadAvg,0.0015529308836396028,0.00030854628127002765
sWinTCP,7.655293088368876e-05,7.00254181696832e-05
rWinTCP,0.008311461067366622,0.0004890787352361725
rBytesMin,4.374453193353167e-05,7.254209952661392e-05
sPshRate,0.0,0.0
sBytesMin,-1.0936132983363489e-05,5.88928784682344e-05
sAckDelayMax,0.0038167104111986538,0.0004950336963147914
rBytesMax,0.008147419072615947,0.00015658159518017913
