feature,importance
endOffset,0.020013103857511188
startOffset,0.022382800624815843
end,0.011449429605457506
start,0.010570801362259298
rBytesSum,0.1865009323490057
sBytesSum,0.03959594332698521
sPayloadSum,0.061122001735279805
rPayloadSum,0.05540382386342619
rPackets,0.11662245895757672
rInterPacketAvg,0.09261654389768867
rLoad,0.026032330469386362
sLoad,0.02913476481534386
sPackets,0.021999001844534013
rBytesAvg,0.0648815920167
sInterPacketAvg,0.013706793131031307
rPayloadAvg,0.001972988058532234
rAckDelayAvg,0.005482976255958749
sAckDelayAvg,0.030603338867126812
rPshRate,0.0031905867270359566
rAckDelayMax,0.0013556395471902777
sBytesAvg,0.0016862813844406525
duration,0.05694855136258123
sPayloadAvg,0.0031713393749979116
sWinTCP,0.0008290555225664407
rWinTCP,0.022223852497735935
rBytesMin,0.039639799610685374
sPshRate,0.006091581797239104
sBytesMin,0.0015448745646349151
sAckDelayMax,0.0012801952964146145
rBytesMax,0.051946617275857976
