feature,mean,std
endOffset,0.0052602799650044,0.0004304170746752776
startOffset,0.01104549431321088,0.0007019600409396764
end,0.0030293088363954833,0.0003133540853432842
start,0.0015310586176728203,0.00014672362057086864
rBytesSum,0.007447506561679829,0.0003956704399633853
sBytesSum,0.015223097112860939,0.0012390209132343332
sPayloadSum,0.003608923884514459,0.0005198978269468481
rPayloadSum,0.0010061242344707399,0.0002843394575678034
rPackets,0.008256780402449714,0.0003635339050436336
rInterPacketAvg,0.005271216097987796,0.000455657625896768
rLoad,0.012915573053368356,0.0007892979254490989
sLoad,0.0020341207349081738,0.0003139260738059482
sPackets,0.0038713910761155267,0.00047719650545215175
rBytesAvg,0.0010608048993876018,0.0002768807721166302
sInterPacketAvg,0.009044181977252874,0.0005990964971479572
rPayloadAvg,0.00016404199475071878,8.81699228816558e-05
rAckDelayAvg,0.004133858267716584,0.0004660384022892015
sAckDelayAvg,0.017454068241469844,0.0006228797404154943
rPshRate,4.374453193355388e-05,7.254209952661726e-05
rAckDelayMax,0.06825240594925637,0.0010731350407023619
sBytesAvg,0.002788713910761165,0.0004823070225546856
duration,0.002919947506561704,0.0006635088063043479
sPayloadAvg,-4.374453193348726e-05,7.254209952659049e-05
sWinTCP,0.0001421697287839696,7.00254181696572e-05
rWinTCP,0.0001421697287839696,8.541392908909195e-05
rBytesMin,-2.187226596673808e-05,6.561679790026976e-05
sPshRate,-0.0001202974628171205,9.084234320774483e-05
sBytesMin,5.468066491691737e-05,0.00010082616423113732
sAckDelayMax,0.004276027996500476,0.0005412004825747699
rBytesMax,-0.00029527559055113616,9.842519685040339e-05
