feature,importance
end,0.011082224390803074
rBytesSum,0.4993136323509076
endOffset,0.018753004052425127
start,0.004193201211823816
sBytesSum,0.12895119232314597
startOffset,0.030800844476051886
rPayloadSum,0.012127781409337644
sPayloadSum,0.15332678585761172
rPackets,0.0006507865627039788
sPackets,2.025865096643688e-20
rBytesAvg,0.000595031796280419
rInterPacketAvg,0.0833025563210308
sLoad,0.02434304996463311
rLoad,0.0033659593737455497
sInterPacketAvg,0.022237072963252
rPayloadAvg,9.456972295042808e-07
rAckDelayAvg,0.0017179235140293654
rPshRate,5.750839105594913e-05
sAckDelayAvg,0.002895008991479479
sBytesAvg,0.00019883707300079445
rAckDelayMax,0.001556843838747529
sPayloadAvg,0.0005298094407047064
