feature,mean,std
end,0.006211723534558145,0.0004836689498577298
rBytesSum,0.05526027996500434,0.0013023185035388148
endOffset,0.01169072615923008,0.0007278076610662701
start,0.009405074365704258,0.0010968892316815181
sBytesSum,0.123261154855643,0.0015430802257759635
startOffset,0.043197725284339426,0.0015279308133484759
rPayloadSum,0.050590551181102325,0.0014151203954174876
sPayloadSum,0.09076990376202972,0.0011768417368604417
rPackets,0.01071741032370952,0.0004841632463074899
sPackets,0.0,0.0
rBytesAvg,0.01037839020122483,0.0004778226656813904
rInterPacketAvg,0.05529308836395448,0.001244222454359379
sLoad,0.05019685039370073,0.0009369400695802068
rLoad,0.07533902012248465,0.0012511719992085559
sInterPacketAvg,0.06665573053368325,0.00202200197163115
rPayloadAvg,0.00019685039370074265,4.374453193349837e-05
rAckDelayAvg,0.06515748031496059,0.0014457220358408312
rPshRate,0.0013670166229221015,0.00027340332458443363
sAckDelayAvg,0.024409448818897582,0.0011107579987396968
sBytesAvg,0.0155839895013123,0.0008025214264635775
rAckDelayMax,0.106091426071741,0.0007456646515192655
sPayloadAvg,0.001859142607174069,0.00031695924641706954
