feature,importance
end,0.009790442079120843
rBytesSum,0.2528735793292881
endOffset,0.024424363014923258
start,0.010673384689463203
sBytesSum,0.020031043919887727
startOffset,0.023239392298030778
rPayloadSum,0.06596325548252105
sPayloadSum,0.05739460269689812
rPackets,0.14132319510254943
sPackets,0.05348593361041963
rBytesAvg,0.07427698615405055
rInterPacketAvg,0.11233996218757239
sLoad,0.01738668686378147
rLoad,0.0374886939330242
sInterPacketAvg,0.015658629914487066
rPayloadAvg,0.020942776853390428
rAckDelayAvg,0.00911741577043316
rPshRate,0.01198507490596867
sAckDelayAvg,0.027879455632318896
sBytesAvg,0.0035110031156050723
rAckDelayMax,0.006743149609604988
sPayloadAvg,0.0034709728366611103
