feature,mean,std
end,0.0015091863517060267,0.00025318978352561946
rBytesSum,0.014971566054243223,0.0005367625193266824
endOffset,0.013003062117235353,0.0007998344052155047
start,0.0022200349956255417,0.00036287532858786164
sBytesSum,0.018733595800524937,0.0013295837271257585
startOffset,0.006561679790026242,0.0006282330103388007
rPayloadSum,0.0017169728783901993,0.00018332299446895166
sPayloadSum,0.0009405074365704369,0.00020283505020768835
rPackets,0.004472878390201207,0.0005649864983853545
sPackets,0.00574146981627296,0.0005954922742809105
rBytesAvg,0.00285433070866139,0.0004386739090142359
rInterPacketAvg,0.0028215223097112887,0.00048858941171672
sLoad,0.0060258092738407765,0.0005022293308488577
rLoad,0.011909448818897638,0.0006533367030290312
sInterPacketAvg,0.00775371828521435,0.000562865670711192
rPayloadAvg,5.4680664916872956e-05,7.33618102854095e-05
rAckDelayAvg,0.006430446194225714,0.0008136953297348211
rPshRate,5.4680664916872956e-05,8.816992288163513e-05
sAckDelayAvg,0.017268153980752397,0.0005754734084393149
sBytesAvg,0.0063429571303587175,0.0005682581389661618
rAckDelayMax,0.08298337707786525,0.0008800699710730866
sPayloadAvg,0.0004483814523184693,0.00010317127222281779
