feature,importance
sBytesAvg,0.03895999356294872
rBytesAvg,0.0436499083499986
rFinRate,0.00023280379155639442
rSynRate,0.0022242770475423813
sttl,0.02071605138774291
rttl,0.06241512780451782
rAckRate,0.0019639493400705277
sAckDelayMax,0.00564337179752487
rAckDelayMax,0.04063483022219484
sPackets,0.10256380961509014
rPackets,0.31516008955730096
sWinTCP,0.001660405713008616
rWinTCP,0.01914717178242168
sPayloadAvg,0.0369669398675067
rPayloadAvg,0.027041017484273157
sInterPacketAvg,0.03129390889240536
rInterPacketAvg,0.24972634378389647
