index,true,pred_label,pred_prob,base_value,shap_sBytesAvg,shap_rBytesAvg,shap_rFinRate,shap_rSynRate,shap_sttl,shap_rttl,shap_rAckRate,shap_sAckDelayMax,shap_rAckDelayMax,shap_sPackets,shap_rPackets,shap_sWinTCP,shap_rWinTCP,shap_sPayloadAvg,shap_rPayloadAvg,shap_sInterPacketAvg,shap_rInterPacketAvg
0,Normal,Normal,1.0,0.0038489698374453226,0.07545690501736084,0.03734164582512318,0.0003174042386289805,0.0014670785720972928,0.07749041765438083,0.09767225918855629,0.009743470924285316,0.01789167635238633,0.23720999716454852,0.12758978713062427,0.11369607022191669,0.05223614205112453,0.018381484694257846,0.02043487288547875,0.008877541007446055,0.0027683252439348084,0.09757595199040345
1,Normal,Normal,1.0,0.0038489698374453226,0.07640131228975079,0.03832817031876211,0.00031386520437445256,0.0014029072666983642,0.06246535488003843,0.09405866753696036,0.009666347172953647,0.012545215764913327,0.2367564784034192,0.12761867810114905,0.11577819343345135,0.052237854093513156,0.01800641516503336,0.0202731902885339,0.008747262362736572,0.012825058214916038,0.10872605966535029
2,mitm,mitm,1.0,0.054675033611945895,0.011356504429257305,0.07549358612488064,0.0005143121123470374,0.0019229491829774394,-0.001960498447639552,0.08006797280486126,0.030840267142619424,0.03697427722965709,-5.1832770608429106e-05,0.20118139866908646,0.1726342357113857,-0.0002719290477254369,0.04658055865001713,0.002254742559201464,0.046183454842269496,0.11075416967495519,0.1308507975205119
3,ip-scan,ip-scan,0.9853137978740913,0.7358348273607422,-0.01981257450060305,0.03085454652350956,0.0,0.0,0.007895709321838662,0.02464063152113077,0.00020816978881656574,0.0,0.0,-0.006466044231486259,0.12279613104895609,0.00017995127487290875,0.007984747177473463,1.88542360691446e-06,0.001449385280163821,-0.006396590267599327,0.0861430221526491
4,Normal,Normal,1.0,0.0038489698374453226,0.12293702858401942,0.012285195702208557,0.00025219329569212714,0.0016588364175549137,0.03234359209044134,0.04748578370206418,0.00445751857576441,0.018694324842611337,-0.005136289463647293,0.1912024009654671,0.27614435620595423,0.009872257116694016,0.035218725988882614,0.038270684276234895,-0.0006657380380504971,0.04031046973860694,0.17081969016205528
5,ddos,ddos,1.0,0.07305082050324035,0.03789355207934242,0.04487937718879069,3.6720917811864664e-06,0.0021918193466935964,0.018421288335631055,0.0585160921891361,1.793075920074021e-06,0.0006824563815526122,0.05700132891989395,0.13032870432006471,0.28515789287192383,1.959703790366984e-05,0.01835187977231638,0.04900736086259306,0.026991320668990754,-4.340113955942066e-05,0.19754444549378494
6,Normal,Normal,1.0,0.0038489698374453226,0.10996678118578894,0.05971297674594059,0.0020892016257970662,0.0017053257643712158,0.027657278971285015,0.0769607393875234,0.02005703594875617,0.030701978089329764,0.06181565280344499,0.14189393064296565,0.12475065841238162,0.07241493887808638,0.044989402642297636,0.04217522626381953,0.018992961759303147,0.13357769479144135,0.02668924625002125
7,Normal,Normal,1.0,0.0038489698374453226,0.0733920346612884,0.03415282149064468,0.0003078632337480579,0.0013004329546629188,0.09009195755002151,0.154275877616318,0.007817029701812497,0.009595683377370415,0.30114106575617094,0.10166888568698074,0.07024062804126228,0.062233174875935604,0.019035888953607923,0.014930542186828268,0.010303936398446543,-0.022525557484830726,0.06818876516228642
8,Normal,Normal,1.0,0.0038489698374453226,0.07313396985045183,0.03735138055473806,0.00029626828296706273,0.0012874926336552673,0.1005904648352725,0.15338068475318473,0.007855425987439825,0.0051026296036408465,0.29417849402605206,0.10577364193488227,0.059351528902777756,0.062162026792078724,0.019013814735396654,0.015339681459973935,0.011936460490943731,-0.01971887775736611,0.06911594307646592
9,Normal,Normal,1.0,0.0038489698374453226,0.0775094685051522,0.036704085774647725,0.0002707221178739168,0.0015440911904709476,0.0668146598711125,0.08585311148286051,0.009728148704291716,0.025484462231910608,0.26496346500629425,0.11888115884655585,0.12760391710145258,0.0514981172464464,0.025947239308629615,0.021022916850412954,0.016405209749587563,-0.03253827464668606,0.09845853082154117
