feature,importance
sBytesAvg,0.15943673840929154
rBytesAvg,0.015549093764341366
sFinRate,0.0
rFinRate,0.00025162447355386294
sSynRate,0.0
rSynRate,2.6935741952525083e-17
sRstRate,0.0
rRstRate,0.0
sttl,0.0003904128096774302
rttl,0.006116841487795751
sAckRate,0.0
rAckRate,0.005133517544172901
sAckDelayMax,0.010070774831685253
rAckDelayMax,0.0022226654661889225
sPackets,0.15364571294875873
rPackets,0.598396904540799
sWinTCP,0.0016702149697057093
rWinTCP,0.0004553339601037658
sPayloadAvg,3.256997420483546e-05
rPayloadAvg,0.002249365137431931
sInterPacketAvg,0.029042460256486324
rInterPacketAvg,0.01533576942580268
