feature,mean,std
sBytesAvg,0.223173665791776,0.002735804325743489
rBytesAvg,0.0069116360454942625,0.00041442028262240755
sFinRate,0.0,0.0
rFinRate,0.0,0.0
sSynRate,0.0,0.0
rSynRate,0.0,0.0
sRstRate,0.0,0.0
rRstRate,0.0,0.0
sttl,0.004352580927384031,0.00043962710503591995
rttl,0.04420384951881009,0.001112909381733045
sAckRate,0.0,0.0
rAckRate,0.003532370953630737,0.0002189958923283275
sAckDelayMax,0.03856080489938751,0.0016303276599811225
rAckDelayMax,0.20681321084864387,0.0016392894909179109
sPackets,0.17377515310586172,0.0018475268853641218
rPackets,0.08553149606299207,0.0019226766847579987
sWinTCP,0.04794400699912506,0.0015210270035619972
rWinTCP,0.001399825021872214,0.000387577540390839
sPayloadAvg,0.005358705161854738,0.00051759228198597
rPayloadAvg,0.0009951881014872543,0.00024183447492888397
sInterPacketAvg,0.10776465441819769,0.0017997831651068098
rInterPacketAvg,0.029276027996500385,0.0007733787055221808
