index,true,pred_label,pred_prob,base_value,shap_sBytesAvg,shap_rBytesAvg,shap_sFinRate,shap_rFinRate,shap_sSynRate,shap_rSynRate,shap_sRstRate,shap_rRstRate,shap_sttl,shap_rttl,shap_sAckRate,shap_rAckRate,shap_sAckDelayMax,shap_rAckDelayMax,shap_sPackets,shap_rPackets,shap_sWinTCP,shap_rWinTCP,shap_sPayloadAvg,shap_rPayloadAvg,shap_sInterPacketAvg,shap_rInterPacketAvg
0,Normal,Normal,1.0,0.003848969837445485,0.1490728637935767,-0.007714690610419696,0.0,5.98427308215251e-06,0.0,0.0,0.0,0.0,0.004054291041713102,0.24792215664071635,0.0,0.01461400982947552,0.010606131155582474,0.2886626837529044,0.17504987031847008,0.16545060219725488,0.046955315668178926,-0.0002563500889698118,0.0011229014196159268,0.000561149878130706,-0.09440603375273444,-0.005549855354021427
1,Normal,Normal,1.0,0.003848969837445485,0.1490728637935767,-0.007714690610419696,0.0,5.98427308215251e-06,0.0,0.0,0.0,0.0,0.004054291041713103,0.2490516572982672,0.0,0.01461400982947552,0.006726503063308085,0.280950806418549,0.17743789959307732,0.16921050508678132,0.04725496846395603,3.735720674503477e-05,0.0012458564896185365,0.0004899595877294373,-0.09440810184090569,-0.0018788395319981773
2,mitm,mitm,1.0,0.05467503361194905,0.03357952966464489,0.14171338600529165,0.0,0.0001137521198582637,0.0,0.0,0.0,0.0,0.0,0.00014388166958003817,0.0,0.036341850893157536,0.032752967209879205,-0.0014562215428307775,0.2884809696469756,0.1931989748851649,0.013706413972082927,0.0030213510278249626,-0.016236996375860423,0.002020909927859689,0.2020892965429601,0.015854900741484098
3,ip-scan,ip-scan,0.9854046973739461,0.7358348273606956,3.831840209857998e-06,0.005021043533027285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03849178053594455,0.27763865130517784,0.0,0.0,0.0,0.0,0.005398123870939773,0.0
4,Normal,Normal,1.0,0.003848969837445485,0.359771615293344,-0.04934170377377296,0.0,2.8885449404043565e-06,0.0,0.0,0.0,0.0,0.0009665311340132233,0.0028863098981508264,0.0,0.0001279977781470402,0.00941189243487456,0.0006796668475847673,0.28434698667171565,0.4259922193059463,-0.0009986048459875395,-5.620094660864348e-05,0.0004092751126206125,0.0004275709266376826,-0.04932430140285842,0.010848887183807856
5,ddos,ddos,1.0,0.07305082050326855,0.2307079149465609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.561593693766162e-06,0.0,0.0,5.1644897006285265e-05,6.141805784140874e-06,0.2264789782328447,0.4696587080492108,5.817265655633897e-05,0.0,0.0,2.364943946827254e-06,-5.970734430143794e-05,3.5399715478768196e-05
6,Normal,Normal,1.0,0.003848969837445485,0.2574849561404997,-0.014170519451009195,0.0,9.52984114775095e-05,0.0,0.0,0.0,0.0,0.0005023409534174837,0.061999626574364385,0.0,0.036454409181273045,-0.031391599235228336,-0.0036863547183777594,0.20102241293032952,-0.044434508420737595,0.24866713465882145,7.201825655591149e-05,0.03574523022864762,0.012821875155268917,0.23153550425519745,0.003433205242056018
7,Normal,Normal,1.0,0.003848969837445485,0.14906829405157557,-0.007861594101372736,0.0,5.98427308215251e-06,0.0,0.0,0.0,0.0,0.004054291041713103,0.2495582924487202,0.0,0.014588816962243966,0.007292051922832062,0.2828088050099722,0.17654085033283143,0.16826453438854824,0.04733513597626369,3.3406234772868153e-06,0.001173540273147613,0.0005268753484596857,-0.0943297287262736,-0.00287845966266502
8,Normal,Normal,1.0,0.003848969837445485,0.14907477985401177,-0.008221839807310713,0.0,5.98427308215251e-06,0.0,0.0,0.0,0.0,0.004054291041713103,0.2495582924487202,0.0,0.014588816962243966,0.007476355312914787,0.2828088050099722,0.17646382001493527,0.16844883777863098,0.047334107133171745,3.3406234772868153e-06,0.0011856129860302797,0.0005268753484596857,-0.09429066148364938,-0.0028663873338474707
9,Normal,Normal,1.0,0.003848969837445485,0.14908487499179593,-0.007702679412200464,0.0,5.98427308215251e-06,0.0,0.0,0.0,0.0,0.0008643185989364143,0.24804103485720272,0.0,0.01461400982947552,0.0072864777617794255,0.278738778721033,0.19650352754698255,0.17741266573627518,0.04725496846395603,3.735720674503476e-05,0.001195241897823714,0.000520071938987466,-0.11924552876561766,0.0015399265162987777
10,Normal,Normal,1.0,0.003848969837445485,0.20149546732204004,0.04176184320017412,0.0,9.52984114775095e-05,0.0,0.0,0.0,0.0,0.00023797368598980318,0.08129843238230727,0.0,0.036412301643084156,-0.009833676697911246,0.04585802625563703,0.2141072215092252,0.03667555050105464,0.26408980176576646,5.835639251067588e-05,0.015516050391120617,0.014233680722418209,0.06390661140637176,-0.009761908728710357
11,Normal,Normal,1.0,0.003848969837445485,0.359771615293344,-0.04934170377377296,0.0,2.8885449404043565e-06,0.0,0.0,0.0,0.0,0.0009665311340132233,0.0028863098981508264,0.0,0.0001279977781470402,0.00941189243487456,0.0006796668475847673,0.28434698667171565,0.4259922193059463,-0.0009986048459875395,-5.620094660864348e-05,0.0004092751126206125,0.0004275709266376826,-0.04932430140285842,0.010848887183807856
12,Normal,Normal,1.0,0.003848969837445485,0.14906829405157557,-0.007741391177256063,0.0,5.98427308215251e-06,0.0,0.0,0.0,0.0,0.004054291041713103,0.24955372285872535,0.0,0.01461400982947552,0.007267130264509984,0.2828147514028984,0.17654679672575774,0.16822201551769178,0.04728667071248095,9.28701640361213e-06,0.001173540273147613,0.0005266346321450167,-0.09437819399005633,-0.0028725132697386946
13,port-scan,port-scan,1.0,0.07267504467762738,0.2794451400688454,0.0001040342132958642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013296311130359099,0.0,0.0,0.0003154446505368952,0.0,0.25442049050389404,0.3942226781963327,0.0,0.0,0.0,1.415429687714652e-05,-0.0009763795271416197,-0.0003535701915275066
14,port-scan,port-scan,1.0,0.07267504467762738,0.2794451400688454,0.0001040342132958642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013296311130359099,0.0,0.0,0.0003154446505368952,0.0,0.25442049050389404,0.3942226781963327,0.0,0.0,0.0,1.415429687714652e-05,-0.0009763795271416197,-0.0003535701915275066
15,Normal,Normal,1.0,0.003848969837445485,0.359771615293344,-0.04934170377377296,0.0,2.8885449404043565e-06,0.0,0.0,0.0,0.0,0.0009665311340132233,0.0028863098981508264,0.0,0.0001279977781470402,0.00941189243487456,0.0006796668475847673,0.28434698667171565,0.4259922193059463,-0.0009986048459875395,-5.620094660864348e-05,0.0004092751126206125,0.0004275709266376826,-0.04932430140285842,0.010848887183807856
16,Normal,Normal,1.0,0.003848969837445485,0.1490728637935767,-0.007714690610419696,0.0,5.98427308215251e-06,0.0,0.0,0.0,0.0,0.004054291041713102,0.24734343205514497,0.0,0.01461400982947552,0.007212607492628492,0.2895164199068041,0.17568230067253943,0.1666039911469317,0.04725496846395603,3.735720674503476e-05,0.001177493090620745,0.000520071938987466,-0.09440603375273444,-0.004824036386495439
