feature,importance
sBytesAvg,0.03948954728532703
rBytesAvg,0.07457985032561452
sFinRate,0.00018653060899908255
rFinRate,0.00015468992957201353
sSynRate,3.671598524972978e-08
rSynRate,0.011105947270755898
sRstRate,0.0022052474801590267
rRstRate,0.000622770450629334
sttl,0.07019868963959872
rttl,0.06997874178783701
sAckRate,0.017881332112726186
rAckRate,0.015001627873131227
sAckDelayMax,0.009285261120665541
rAckDelayMax,0.028466665821239016
sPackets,0.07666435415788105
rPackets,0.24960022019105815
sWinTCP,0.0007501960860541937
rWinTCP,0.01911965569303973
sPayloadAvg,0.018300805051401494
rPayloadAvg,0.020224719305560464
sInterPacketAvg,0.04029775634073152
rInterPacketAvg,0.23588535475203348
