feature,mean,std
sBytesAvg,0.0038713910761154933,0.0006528788957392393
rBytesAvg,0.0023950131233595796,0.0005022293308488512
sFinRate,0.0,0.0
rFinRate,0.0,0.0
sSynRate,0.0,0.0
rSynRate,0.0,0.0
sRstRate,-1.0936132983374592e-05,3.280839895012378e-05
rRstRate,0.0,0.0
sttl,0.003521434820647429,0.0004201525090179044
rttl,0.0025481189851268684,0.00028954948151516666
sAckRate,2.1872265966749184e-05,4.374453193349837e-05
rAckRate,-1.0936132983374592e-05,7.655293088362213e-05
sAckDelayMax,0.007863079615048119,0.000704426199264567
rAckDelayMax,0.19986876640419945,0.0013903950197124086
sPackets,0.018908573928258975,0.001321825199729988
rPackets,0.048315835520559944,0.0011519854840125784
sWinTCP,0.00022965879265094414,0.00018591426071740922
rWinTCP,0.0005030621172353311,0.0001400508363393005
sPayloadAvg,0.0012029746281714937,0.00020749853413178304
rPayloadAvg,-4.374453193349837e-05,0.00010023131441283459
sInterPacketAvg,0.02516404199475064,0.0011609311707317946
rInterPacketAvg,0.018011811023622048,0.0007902065572834635
